Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,4.0818,1,2,cbr,1000,-------,2,1.0,0.0,497,7359,
r,4.0898,1,2,cbr,1000,-------,2,1.0,0.0,498,7360,
r,4.0978,1,2,cbr,1000,-------,2,1.0,0.0,499,7361,
r,4.1058,1,2,cbr,1000,-------,2,1.0,0.0,500,7362,
r,4.1138,1,2,cbr,1000,-------,2,1.0,0.0,501,7363,
r,4.1218,1,2,cbr,1000,-------,2,1.0,0.0,502,7364,
r,4.1298,1,2,cbr,1000,-------,2,1.0,0.0,503,7365,
r,4.1378,1,2,cbr,1000,-------,2,1.0,0.0,504,7366,
r,4.1458,1,2,cbr,1000,-------,2,1.0,0.0,505,7367,
r,4.1538,1,2,cbr,1000,-------,2,1.0,0.0,506,7368,
r,4.1618,1,2,cbr,1000,-------,2,1.0,0.0,507,7369,
r,4.1698,1,2,cbr,1000,-------,2,1.0,0.0,508,7370,
r,4.1778,1,2,cbr,1000,-------,2,1.0,0.0,509,7371,
r,4.1858,1,2,cbr,1000,-------,2,1.0,0.0,510,7372,
r,4.1938,1,2,cbr,1000,-------,2,1.0,0.0,511,7373,
r,4.2018,1,2,cbr,1000,-------,2,1.0,0.0,512,7374,
r,4.2098,1,2,cbr,1000,-------,2,1.0,0.0,513,7375,
r,4.2178,1,2,cbr,1000,-------,2,1.0,0.0,514,7376,
r,4.2258,1,2,cbr,1000,-------,2,1.0,0.0,515,7377,
r,4.2338,1,2,cbr,1000,-------,2,1.0,0.0,516,7378,
r,4.2418,1,2,cbr,1000,-------,2,1.0,0.0,517,7379,
r,4.2498,1,2,cbr,1000,-------,2,1.0,0.0,518,7380,
r,4.2578,1,2,cbr,1000,-------,2,1.0,0.0,519,7381,
r,4.2658,1,2,cbr,1000,-------,2,1.0,0.0,520,7382,
r,4.2738,1,2,cbr,1000,-------,2,1.0,0.0,521,7383,
r,4.2818,1,2,cbr,1000,-------,2,1.0,0.0,522,7384,
r,4.2898,1,2,cbr,1000,-------,2,1.0,0.0,523,7385,
r,4.2978,1,2,cbr,1000,-------,2,1.0,0.0,524,7386,
r,4.3058,1,2,cbr,1000,-------,2,1.0,0.0,525,7387,
r,4.3138,1,2,cbr,1000,-------,2,1.0,0.0,526,7388,
r,4.3218,1,2,cbr,1000,-------,2,1.0,0.0,527,7389,
r,4.3298,1,2,cbr,1000,-------,2,1.0,0.0,528,7390,
r,4.3378,1,2,cbr,1000,-------,2,1.0,0.0,529,7391,
r,4.3458,1,2,cbr,1000,-------,2,1.0,0.0,530,7392,
r,4.3538,1,2,cbr,1000,-------,2,1.0,0.0,531,7393,
r,4.3618,1,2,cbr,1000,-------,2,1.0,0.0,532,7394,
r,4.3698,1,2,cbr,1000,-------,2,1.0,0.0,533,7395,
